#,Keyword,Category,Category,,,
1,Access,Urgency 🚨,Urgency,,,
2,Access now,Urgency 🚨,Urgency,,,
3,Act,Urgency 🚨,Urgency,,,
4,Act immediately,Urgency 🚨,Urgency,,,This list was made available as part of an extensive blog post on spam filters:
5,Act now,Urgency 🚨,Urgency,,,
6,Act now!,Urgency 🚨,Urgency,,,https://mailmeteor.com/blog/spam-words
7,Action,Urgency 🚨,Urgency,,,
8,Action required,Urgency 🚨,Urgency,,,
9,Apply here,Urgency 🚨,Urgency,,,
10,Apply now,Urgency 🚨,Urgency,,,
11,Apply now!,Urgency 🚨,Urgency,,,
12,Apply online,Urgency 🚨,Urgency,,,
13,Become a member,Urgency 🚨,Urgency,,,
14,Before it's too late,Urgency 🚨,Urgency,,,
15,Being a member,Urgency 🚨,Urgency,,,
16,Buy,Urgency 🚨,Urgency,,,
17,Buy direct,Urgency 🚨,Urgency,,,
18,Buy now,Urgency 🚨,Urgency,,,
19,Buy today,Urgency 🚨,Urgency,,,
20,Call,Urgency 🚨,Urgency,,,
21,Call free,Urgency 🚨,Urgency,,,
22,Call free/now,Urgency 🚨,Urgency,,,
23,Call me,Urgency 🚨,Urgency,,,
24,Call now,Urgency 🚨,Urgency,,,
25,Call now!,Urgency 🚨,Urgency,,,
26,Can we have a minute of your time?,Urgency 🚨,Urgency,,,
27,Cancel now,Urgency 🚨,Urgency,,,
28,Cancellation required,Urgency 🚨,Urgency,,,
29,Claim now,Urgency 🚨,Urgency,,,
30,Click,Urgency 🚨,Urgency,,,
31,Click below,Urgency 🚨,Urgency,,,
32,Click here,Urgency 🚨,Urgency,,,
33,Click me to download,Urgency 🚨,Urgency,,,
34,Click now,Urgency 🚨,Urgency,,,
35,Click this link,Urgency 🚨,Urgency,,,
36,Click to get,Urgency 🚨,Urgency,,,
37,Click to remove,Urgency 🚨,Urgency,,,
38,Contact us immediately,Urgency 🚨,Urgency,,,
39,Deal ending soon,Urgency 🚨,Urgency,,,
40,Do it now,Urgency 🚨,Urgency,,,
41,Do it today,Urgency 🚨,Urgency,,,
42,Don't delete,Urgency 🚨,Urgency,,,
43,Don't hesitate,Urgency 🚨,Urgency,,,
44,Don't waste time,Urgency 🚨,Urgency,,,
45,Don’t delete,Urgency 🚨,Urgency,,,
46,Exclusive deal,Urgency 🚨,Urgency,,,
47,Expire,Urgency 🚨,Urgency,,,
48,Expires today,Urgency 🚨,Urgency,,,
49,Final call,Urgency 🚨,Urgency,,,
50,For instant access,Urgency 🚨,Urgency,,,
51,For Only,Urgency 🚨,Urgency,,,
52,For you,Urgency 🚨,Urgency,,,
53,Friday before [holiday],Urgency 🚨,Urgency,,,
54,Get it away,Urgency 🚨,Urgency,,,
55,Get it now,Urgency 🚨,Urgency,,,
56,Get now,Urgency 🚨,Urgency,,,
57,Get paid,Urgency 🚨,Urgency,,,
58,Get started,Urgency 🚨,Urgency,,,
59,Get started now,Urgency 🚨,Urgency,,,
60,Great offer,Urgency 🚨,Urgency,,,
61,Hurry up,Urgency 🚨,Urgency,,,
62,Immediately,Urgency 🚨,Urgency,,,
63,Info you requested,Urgency 🚨,Urgency,,,
64,Information you requested,Urgency 🚨,Urgency,,,
65,Instant,Urgency 🚨,Urgency,,,
66,Limited time,Urgency 🚨,Urgency,,,
67,New customers only,Urgency 🚨,Urgency,,,
68,Now,Urgency 🚨,Urgency,,,
69,Now only,Urgency 🚨,Urgency,,,
70,Offer expires,Urgency 🚨,Urgency,,,
71,Once in lifetime,Urgency 🚨,Urgency,,,
72,Only,Urgency 🚨,Urgency,,,
73,Order now,Urgency 🚨,Urgency,,,
74,Order today,Urgency 🚨,Urgency,,,
75,Please read,Urgency 🚨,Urgency,,,
76,Purchase now,Urgency 🚨,Urgency,,,
77,Sign up free,Urgency 🚨,Urgency,,,
78,Sign up free today,Urgency 🚨,Urgency,,,
79,Supplies are limited,Urgency 🚨,Urgency,,,
80,Take action,Urgency 🚨,Urgency,,,
81,Take action now,Urgency 🚨,Urgency,,,
82,This won’t last,Urgency 🚨,Urgency,,,
83,Time limited,Urgency 🚨,Urgency,,,
84,Today,Urgency 🚨,Urgency,,,
85,Top urgent,Urgency 🚨,Urgency,,,
86,Trial,Urgency 🚨,Urgency,,,
87,Urgent,Urgency 🚨,Urgency,,,
88,What are you waiting for?,Urgency 🚨,Urgency,,,
89,While supplies last,Urgency 🚨,Urgency,,,
90,You are a winner,Urgency 🚨,Urgency,,,
91,0 down,Shady 🔞,Shady,,,
92,All,Shady 🔞,Shady,,,
93,All natural,Shady 🔞,Shady,,,
94,All natural/new,Shady 🔞,Shady,,,
95,All new,Shady 🔞,Shady,,,
96,All-natural,Shady 🔞,Shady,,,
97,All-new,Shady 🔞,Shady,,,
98,Allowance,Shady 🔞,Shady,,,
99,As seen on,Shady 🔞,Shady,,,
100,As seen on Oprah,Shady 🔞,Shady,,,
101,At no cost,Shady 🔞,Shady,,,
102,Auto email removal,Shady 🔞,Shady,,,
103,Avoice bankruptcy,Shady 🔞,Shady,,,
104,Avoid,Shady 🔞,Shady,,,
105,Beneficial offer,Shady 🔞,Shady,,,
106,Beneficiary,Shady 🔞,Shady,,,
107,Bill 1618,Shady 🔞,Shady,,,
108,Brand new pager,Shady 🔞,Shady,,,
109,Bulk email,Shady 🔞,Shady,,,
110,Buying judgements,Shady 🔞,Shady,,,
111,Buying judgments,Shady 🔞,Shady,,,
112,Cable converter,Shady 🔞,Shady,,,
113,Calling creditors,Shady 🔞,Shady,,,
114,Can you help us?,Shady 🔞,Shady,,,
115,Cancel at any time,Shady 🔞,Shady,,,
116,Cannot be combined,Shady 🔞,Shady,,,
117,Celebrity,Shady 🔞,Shady,,,
118,Cell phone cancer scam,Shady 🔞,Shady,,,
119,Certified,Shady 🔞,Shady,,,
120,Chance,Shady 🔞,Shady,,,
121,Cheap,Shady 🔞,Shady,,,
122,Cheap meds,Shady 🔞,Shady,,,
123,Cialis,Shady 🔞,Shady,,,
124,Claims,Shady 🔞,Shady,,,
125,Claims not to be selling anything,Shady 🔞,Shady,,,
126,Claims to be in accordance with some spam law,Shady 🔞,Shady,,,
127,Claims to be legal,Shady 🔞,Shady,,,
128,Clearance,Shady 🔞,Shady,,,
129,Collect,Shady 🔞,Shady,,,
130,Collect child support,Shady 🔞,Shady,,,
131,Compare,Shady 🔞,Shady,,,
132,Compare now,Shady 🔞,Shady,,,
133,Compare online,Shady 🔞,Shady,,,
134,Compare rates,Shady 🔞,Shady,,,
135,Compete for your business,Shady 🔞,Shady,,,
136,Confidentiality,Shady 🔞,Shady,,,
137,Congratulations,Shady 🔞,Shady,,,
138,Consolidate debt and credit,Shady 🔞,Shady,,,
139,Consolidate your debt,Shady 🔞,Shady,,,
140,Copy accurately,Shady 🔞,Shady,,,
141,Copy DVDs,Shady 🔞,Shady,,,
142,COVID,Shady 🔞,Shady,,,
143,Cures,Shady 🔞,Shady,,,
144,Cures baldness,Shady 🔞,Shady,,,
145,Diagnostic,Shady 🔞,Shady,,,
146,DIAGNOSTICS,Shady 🔞,Shady,,,
147,Diet,Shady 🔞,Shady,,,
148,Dig up dirt on friends,Shady 🔞,Shady,,,
149,Direct email,Shady 🔞,Shady,,,
150,Direct marketing,Shady 🔞,Shady,,,
151,Eliminate debt,Shady 🔞,Shady,,,
152,Explode your business,Shady 🔞,Shady,,,
153,Fast viagra delivery,Shady 🔞,Shady,,,
154,Finance,Shady 🔞,Shady,,,
155,Financial,Shady 🔞,Shady,,,
156,Financial advice,Shady 🔞,Shady,,,
157,Financial independence,Shady 🔞,Shady,,,
158,Financially independent,Shady 🔞,Shady,,,
159,For new customers only,Shady 🔞,Shady,,,
160,Foreclosure,Shady 🔞,Shady,,,
161,Free,Shady 🔞,Shady,,,
162,Free access/money/gift,Shady 🔞,Shady,,,
163,Free bonus,Shady 🔞,Shady,,,
164,Free cell phone,Shady 🔞,Shady,,,
165,Free DVD,Shady 🔞,Shady,,,
166,Free grant money,Shady 🔞,Shady,,,
167,Free information,Shady 🔞,Shady,,,
168,Free installation,Shady 🔞,Shady,,,
169,Free Instant,Shady 🔞,Shady,,,
170,Free iPhone,Shady 🔞,Shady,,,
171,Free laptop,Shady 🔞,Shady,,,
172,Free leads,Shady 🔞,Shady,,,
173,Free Macbook,Shady 🔞,Shady,,,
174,Free offer,Shady 🔞,Shady,,,
175,Free priority mail,Shady 🔞,Shady,,,
176,Free sample,Shady 🔞,Shady,,,
177,Free website,Shady 🔞,Shady,,,
178,Free!,Shady 🔞,Shady,,,
179,Get,Shady 🔞,Shady,,,
180,Gift card,Shady 🔞,Shady,,,
181,Gift certificate,Shady 🔞,Shady,,,
182,Gift included,Shady 🔞,Shady,,,
183,Give it away,Shady 🔞,Shady,,,
184,Giving away,Shady 🔞,Shady,,,
185,Giving it away,Shady 🔞,Shady,,,
186,Gold,Shady 🔞,Shady,,,
187,Great,Shady 🔞,Shady,,,
188,Great deal,Shady 🔞,Shady,,,
189,Greetings of the day,Shady 🔞,Shady,,,
190,Growth hormone,Shady 🔞,Shady,,,
191,Guarantee,Shady 🔞,Shady,,,
192,Guaranteed deposit,Shady 🔞,Shady,,,
193,Guaranteed income,Shady 🔞,Shady,,,
194,Guaranteed payment,Shady 🔞,Shady,,,
195,Have you been turned down?,Shady 🔞,Shady,,,
196,Hello (with no name included),Shady 🔞,Shady,,,
197,Hidden charges,Shady 🔞,Shady,,,
198,Hidden costs,Shady 🔞,Shady,,,
199,Hidden fees,Shady 🔞,Shady,,,
200,High score,Shady 🔞,Shady,,,
201,Home based business,Shady 🔞,Shady,,,
202,Home mortgage,Shady 🔞,Shady,,,
203,Human,Shady 🔞,Shady,,,
204,Human growth hormone,Shady 🔞,Shady,,,
205,If only it were that easy,Shady 🔞,Shady,,,
206,Important information,Shady 🔞,Shady,,,
207,Important notification,Shady 🔞,Shady,,,
208,Instant weight loss,Shady 🔞,Shady,,,
209,Insurance Lose weight,Shady 🔞,Shady,,,
210,Internet marketing,Shady 🔞,Shady,,,
211,Investment decision,Shady 🔞,Shady,,,
212,Invoice,Shady 🔞,Shady,,,
213,It’s effective,Shady 🔞,Shady,,,
214,Job alert,Shady 🔞,Shady,,,
215,Junk,Shady 🔞,Shady,,,
216,Lambo,Shady 🔞,Shady,,,
217,Laser printer,Shady 🔞,Shady,,,
218,Last Day,Shady 🔞,Shady,,,
219,Legal,Shady 🔞,Shady,,,
220,Legal notice,Shady 🔞,Shady,,,
221,Life,Shady 🔞,Shady,,,
222,Life insurance,Shady 🔞,Shady,,,
223,Lifetime access,Shady 🔞,Shady,,,
224,Lifetime deal,Shady 🔞,Shady,,,
225,Limited,Shady 🔞,Shady,,,
226,Limited amount,Shady 🔞,Shady,,,
227,Limited number,Shady 🔞,Shady,,,
228,Limited offer,Shady 🔞,Shady,,,
229,Limited supply,Shady 🔞,Shady,,,
230,Limited time offer,Shady 🔞,Shady,,,
231,Limited time only,Shady 🔞,Shady,,,
232,Loan,Shady 🔞,Shady,,,
233,Long distance phone number,Shady 🔞,Shady,,,
234,Long distance phone offer,Shady 🔞,Shady,,,
235,Lose weight,Shady 🔞,Shady,,,
236,Lose weight fast,Shady 🔞,Shady,,,
237,Lose weight spam,Shady 🔞,Shady,,,
238,Lottery,Shady 🔞,Shady,,,
239,Lower interest rate,Shady 🔞,Shady,,,
240,Lower interest rates,Shady 🔞,Shady,,,
241,Lower monthly payment,Shady 🔞,Shady,,,
242,Lower your mortgage rate,Shady 🔞,Shady,,,
243,Lowest insurance rates,Shady 🔞,Shady,,,
244,Lowest interest rate,Shady 🔞,Shady,,,
245,Lowest rate,Shady 🔞,Shady,,,
246,Lowest rates,Shady 🔞,Shady,,,
247,Luxury,Shady 🔞,Shady,,,
248,Luxury car,Shady 🔞,Shady,,,
249,Mail in order form,Shady 🔞,Shady,,,
250,Main in order form,Shady 🔞,Shady,,,
251,Mark this as not junk,Shady 🔞,Shady,,,
252,Mass email,Shady 🔞,Shady,,,
253,Medical,Shady 🔞,Shady,,,
254,Medicine,Shady 🔞,Shady,,,
255,Meet girls,Shady 🔞,Shady,,,
256,Meet me,Shady 🔞,Shady,,,
257,Meet singles,Shady 🔞,Shady,,,
258,Meet women,Shady 🔞,Shady,,,
259,Member,Shady 🔞,Shady,,,
260,Member stuff,Shady 🔞,Shady,,,
261,Message contains disclaimer,Shady 🔞,Shady,,,
262,Message from,Shady 🔞,Shady,,,
263,Millionaire,Shady 🔞,Shady,,,
264,Millions,Shady 🔞,Shady,,,
265,MLM,Shady 🔞,Shady,,,
266,Multi-level marketing,Shady 🔞,Shady,,,
267,Name,Shady 🔞,Shady,,,
